,year,continent,country,income,life_exp,population
214,2014,americas,French Guiana,,77.35,261623
215,2014,africa,Western Sahara,,68.04,514991
216,2014,asia,French Polynesia,,76.47,275484
217,2014,americas,Guadeloupe,,81.18,450884
218,2014,asia,Guam,,71.6,160967
219,2014,americas,Martinique,,81.64,387204
220,2014,africa,Mayotte,,79.42,233638
221,2014,americas,Montserrat,,,5098
222,2014,asia,Northern Mariana Islands,,76.2,54468
223,2014,americas,British Virgin Islands,,,29588
224,2014,americas,Anguilla,,,14459
225,2014,asia,Cook Is,,,17588
226,2014,europe,Faeroe Islands,,,48842
227,2014,europe,Gibraltar,,,34038
228,2014,europe,Holy See,,,800
229,2014,europe,Isle of Man,,,82590
230,2014,europe,Liechtenstein,,,37127
231,2014,asia,Niue,,,1616
232,2013,americas,Panama,18793,77.6,3838462
233,2013,americas,St. Vincent and the Grenadines,10177,70.8,109320
234,2013,americas,Paraguay,7833,74.1,6465740
235,2013,africa,Sierra Leone,1865,57.1,6922079
236,2013,europe,Czech Republic,28124,78.3,10594481
237,2013,asia,Oman,41770,76.8,3711481
238,2013,asia,North Korea,1392,71.8,24985976
239,2013,americas,Nicaragua,4432,77.6,5945747
240,2013,americas,Costa Rica,13427,80.1,4706401
241,2013,europe,Netherlands,45021,81.2,16839699
242,2013,americas,Venezuela,17614,74.7,30317848
243,2013,asia,Nepal,2173,69.9,27985310
244,2013,asia,Nauru,13568,,10790
245,2013,asia,Philippines,6326,70.3,98481032
246,2013,africa,Mozambique,1064,54.8,26434372
247,2013,europe,Hungary,22708,76.1,9841697
248,2013,asia,Mongolia,10833,66.4,2869107
249,2013,europe,Monaco,57886,,37971
250,2013,europe,Estonia,25254,77.5,1321560
251,2013,europe,Moldova,4542,73.3,4071964
252,2013,americas,Bermuda,50669,78.3,62771
253,2013,africa,Mauritius,17146,74.2,1255290
254,2013,americas,Belize,8215,71.3,344181
255,2013,africa,Togo,1346,60.7,7042948
256,2013,asia,Wallis et Futuna,,,12551
257,2013,africa,Mali,1589,59.8,16477818
258,2013,asia,Maldives,13353,79.9,397397
259,2013,europe,Slovak Republic,25759,77,5425130
260,2013,americas,British Virgin Islands,,,29056
261,2013,africa,Niger,897,60.4,18426372
262,2013,asia,Papua New Guinea,2558,60.2,7592865
263,2013,europe,"Macedonia, FYR",11664,76,2075739
264,2013,asia,"Macao, China",136540,80.4,575841
265,2013,europe,Luxembourg,88850,81.9,544721
266,2013,europe,Lithuania,24732,74.9,2997334
267,2013,asia,Palestine,4498,74.4,4414644
268,2013,africa,Libya,19760,75.8,6195970
269,2013,americas,Montserrat,,,5068
270,2013,africa,Morocco,6967,74.3,33824769
271,2013,europe,Romania,18182,74.9,20068201
272,2013,europe,Latvia,21699,75,2040784
273,2013,africa,Somalia,619,54.1,13132349
274,2013,asia,Lao,4667,66.1,6494557
275,2013,asia,Marshall Islands,3776,66.5,52793
276,2013,asia,Kuwait,79395,79.7,3598385
277,2013,americas,Martinique,,81.41,389050
278,2013,africa,Liberia,875,62.9,4286291
279,2013,africa,Kenya,2706,64.8,44826849
280,2013,europe,Norway,63322,81.6,5077101
281,2013,asia,Saudi Arabia,51294,79.3,29944476
282,2013,asia,Jordan,11405,78.3,8413464
283,2013,asia,Japan,35614,83,128312920
284,2013,americas,Jamaica,8607,74.8,2851807
285,2013,asia,New Zealand,33360,81.4,4517527
286,2013,americas,Dominican Republic,11790,74.9,10281296
287,2013,americas,Cuba,20122,78,11412167
288,2013,asia,Israel,30927,82,7821105
289,2013,europe,Ireland,44640,81.5,4681967
290,2013,americas,Bahamas,22518,72.9,377240
291,2013,asia,Iraq,15368,68.3,33883145
292,2013,asia,Iran,15552,74.5,77435384
293,2013,europe,Kosovo,8613,,
294,2013,europe,Gibraltar,,,33831
295,2013,europe,San Marino,39209,,32303
296,2013,americas,Guyana,6336,66.2,758081
297,2013,asia,Syria,5000,69,19809141
298,2013,africa,Guinea-Bissau,1362,55.1,1681495
299,2013,africa,Guinea,1213,58.8,11536615
300,2013,europe,Finland,38788,80.8,5436616
301,2013,americas,Guatemala,7063,72.3,15596214
302,2013,americas,Grenada,11273,71.2,105909
303,2013,africa,Chad,2055,56.6,13133589
304,2013,americas,Haiti,1648,63.4,10431776
305,2013,africa,Cape Verde,6232,72.3,520106
306,2013,americas,Canada,42213,81.6,35255495
307,2013,africa,Cameroon,2739,59,21655715
308,2013,africa,Burundi,747,61.3,9600186
309,2013,asia,China,11805,75.7,1382793212
310,2013,europe,Portugal,25677,80.7,10527674
311,2013,asia,Samoa,5502,73,190757
312,2013,asia,"Hong Kong, China",51656,83.38,7148571
313,2013,africa,Burkina Faso,1588,60.3,17072723
314,2013,africa,Gambia,1608,67.8,1859324
315,2013,americas,Brazil,15518,74.1,202408632
316,2013,asia,Cambodia,2942,68.7,15022692
317,2013,africa,Botswana,16155,56.9,2128507
318,2013,asia,Tajikistan,2432,71.4,8177809
319,2013,asia,Thailand,13932,74.4,68143065
320,2013,asia,Northern Mariana Islands,,76.2,54036
321,2013,americas,Peru,11395,79.1,30565716
322,2013,asia,Palau,13153,,20920
323,2013,africa,Namibia,9275,63.9,2316520
324,2013,asia,Myanmar,3526,67.2,51448196
325,2013,asia,Bahrain,42444,79.1,1315411
326,2013,africa,Central African Republic,584,47.8,4499653
327,2013,africa,Benin,1733,61.7,10004451
328,2013,africa,Madagascar,1369,63,22961146
329,2013,europe,Belgium,40607,80.4,11151512
330,2013,africa,Eritrea,1157,60.4,4650998
331,2013,asia,Bhutan,7167,72.2,764961
332,2013,africa,Nigeria,5423,63.3,171829303
333,2013,africa,Lesotho,2473,45.6,2117361
334,2013,europe,Malta,28822,81.7,423246
335,2013,americas,Suriname,15556,71.6,542540
336,2013,africa,Tanzania,2382,62.7,50636595
337,2013,africa,Malawi,757,59.3,16577147
338,2013,africa,Uganda,1621,60.1,37553726
339,2013,asia,"Micronesia, Fed. Sts.",3286,68.7,103702
340,2013,americas,Antigua and Barbuda,20353,76.2,97824
341,2013,americas,Mexico,16346,75.4,122535969
342,2013,africa,Seychelles,24805,73.8,92765
343,2013,europe,Iceland,40958,83.2,327029
344,2013,americas,Guadeloupe,,80.95,451338
345,2013,europe,Bosnia and Herzegovina,9387,78.6,3604999
346,2013,asia,Kazakhstan,22470,70,17207257
347,2013,europe,Cyprus,30081,81.7,1143896
348,2013,americas,Barbados,12867,75.5,282509
349,2013,americas,Ecuador,10541,75.6,15661547
350,2013,europe,Albania,9961,77.7,2918978
351,2013,asia,Sri Lanka,9426,77.1,20527233
352,2013,asia,Australia,42840,82.4,23150729
353,2013,africa,Angola,7488,58.8,25998340
354,2013,asia,Afghanistan,1884,54.8,31731688
355,2013,africa,"Congo, Dem. Rep.",724,59.6,71316033
356,2013,americas,Turks and Caicos Islands,20278,,33108
357,2013,asia,Malaysia,22589,74.9,29706724
358,2013,africa,Algeria,12893,76.3,38338562
359,2013,africa,Gabon,17580,64.4,1817271
360,2013,asia,Tonga,4879,71.2,105328
361,2013,americas,Aruba,36083,75.46,103187
362,2013,americas,Honduras,4154,72.6,8657785
363,2013,asia,Bangladesh,2853,69.8,157571292
364,2013,africa,Comoros,1450,67.8,741500
365,2013,africa,Djibouti,2903,63.1,896688
366,2013,europe,Italy,33827,82.1,59668000
367,2013,europe,Austria,44059,81.1,8577782
368,2013,americas,Dominica,10011,73,72400
369,2013,asia,Indonesia,9729,70.6,252032263
370,2013,europe,Azerbaijan,16593,72.1,9385293
371,2013,asia,American Samoa,,72.7,55307
372,2013,asia,Brunei,69474,76.9,405716
373,2013,europe,Andorra,43735,84.8,80788
374,2013,asia,Pakistan,4454,65.4,181712595
375,2013,asia,India,5244,66.5,1278562207
376,2013,africa,Cote d'Ivoire,3123,58.1,21966312
377,2013,americas,Bolivia,5934,72.7,10400264
378,2013,europe,Belarus,17085,70.6,9478902
379,2013,africa,Sao Tome and Principe,2876,67.6,187045
380,2013,asia,Lebanon,16623,78.6,5276102
381,2013,europe,Armenia,7527,74.3,2893509
382,2013,europe,Greece,24159,81,11321300
383,2013,asia,Kyrgyz Republic,3121,69.4,5683808
384,2013,europe,Germany,42887,80.7,81265139
385,2013,americas,Chile,21746,79.1,17462982
386,2013,americas,Anguilla,,,14299
387,2013,americas,Colombia,12054,77.5,47342981
388,2013,europe,Channel Islands,,80.32,162180
389,2013,asia,Kiribati,1796,62.6,108535
390,2013,africa,Ethiopia,1336,64.2,94887724
391,2013,africa,Swaziland,5998,49.4,1271456
392,2013,africa,Egypt,10731,71,89807433
393,2013,europe,Montenegro,14156,76.9,627094
394,2013,africa,"Congo, Rep.",5680,61.5,4751393
395,2013,africa,Mauritania,3579,69.3,3946170
396,2013,europe,France,37309,81.7,63919917
397,2013,europe,Croatia,20049,77.6,4277806
398,2013,africa,Senegal,2185,64.8,14120320
399,2013,americas,Trinidad and Tobago,29469,72.1,1348248
400,2013,americas,Argentina,17629,76.2,42539925
401,2013,europe,Denmark,42483,80.3,5637817
402,2013,americas,Falkland Is (Malvinas),,,2870
403,2013,americas,El Salvador,7515,74.6,6250777
404,2013,africa,Equatorial Guinea,32654,60.5,1083746
405,2013,americas,Cayman Islands,49345,,58371
406,2013,asia,Fiji,7502,65.6,879715
407,2013,asia,Vanuatu,2895,64.6,253142
408,2013,europe,Georgia,6930,72.5,4045910
409,2013,europe,Bulgaria,15695,74.6,7266141
410,2013,africa,South Africa,12454,60.7,53767396
411,2013,africa,Ghana,3873,64.5,26346251
412,2013,europe,Greenland,26688,71.8,56414
413,2013,asia,Yemen,3832,67.1,25576322
414,2013,europe,Poland,23144,77.3,38309451
415,2013,americas,Puerto Rico,33818,77.9,3688723
416,2013,asia,Qatar,131579,79.9,2250473
417,2013,americas,Netherlands Antilles,,76.89,205860
418,2013,europe,Russia,23561,70.8,143597230
419,2013,africa,Rwanda,1426,65.6,11065151
420,2013,europe,Serbia,12889,75.7,8920215
421,2013,asia,Singapore,77721,81.7,5360837
422,2013,europe,Slovenia,27368,80.3,2066119
423,2013,americas,St. Lucia,10152,74.7,175660
424,2013,asia,Solomon Islands,2041,63.5,563513
425,2013,asia,South Korea,32684,80.9,50169242
426,2013,asia,French Polynesia,,76.26,273528
427,2013,africa,South Sudan,1965,56,11177490
428,2013,europe,Spain,31681,82.5,46697553
429,2013,asia,Tuvalu,3528,,10819
430,2013,americas,St. Kitts and Nevis,20620,,53169
431,2013,africa,Sudan,3903,66.9,36849918
432,2013,africa,Zambia,3800,55.6,15153210
433,2013,europe,Sweden,43448,81.9,9615247
434,2013,europe,Ukraine,8338,71.3,45115785
435,2013,europe,Switzerland,54983,82.8,8132674
436,2013,asia,Taiwan,40214,79.3,23151000
437,2013,americas,United States,51282,79.1,315536676
438,2013,asia,Timor-Leste,2093,72,1184366
439,2013,africa,Tunisia,10768,77.5,11014558
440,2013,europe,Turkey,18579,78.8,75787333
441,2013,asia,Turkmenistan,13555,69.2,5366277
442,2013,asia,United Arab Emirates,59092,75.4,9006263
443,2013,europe,United Kingdom,36908,80.8,64641110
444,2013,americas,Uruguay,19321,76.4,3408005
445,2013,asia,Uzbekistan,5002,71.2,30019734
446,2013,asia,Vietnam,5125,75,91497725
447,2013,africa,Zimbabwe,1773,55.7,15054506
448,2013,americas,French Guiana,,77.12,254503
449,2013,asia,Guam,,71.6,160375
450,2013,africa,Mayotte,,79.19,227351
451,2013,asia,New Caledonia,,76.31,261889
452,2013,africa,Reunion,,79.65,850400
453,2013,americas,Virgin Islands (U.S.),,80.15,105311
454,2013,africa,Western Sahara,,67.76,504855
455,2013,asia,Cook Is,,,17767
456,2013,europe,Faeroe Islands,,,48747
457,2013,europe,Holy See,,,801
458,2013,europe,Isle of Man,,,82013
459,2013,africa,St. Helena,,,4081
460,2013,europe,Liechtenstein,,,36834
461,2013,asia,Niue,,,1623
462,2013,americas,St.-Pierre-et-Miquelon,,,6273
463,2013,asia,Tokelau,,,1187
464,2012,americas,Panama,17627,77.5,3772938
465,2012,americas,St. Vincent and the Grenadines,9997,71.1,109328
466,2012,americas,Paraguay,6975,74.1,6379219
467,2012,africa,Sierra Leone,1582,56.4,6766103
468,2012,europe,Czech Republic,28333,78.1,10586755
469,2012,asia,Pakistan,4337,65.1,177911533
470,2012,asia,Oman,44060,76.6,3464644
471,2012,africa,Morocco,6777,74.1,33333789
472,2012,asia,Palestine,4842,74.2,4294960
473,2012,asia,North Korea,1393,71.6,24854034
474,2012,africa,Nigeria,5291,62.6,167297284
475,2012,americas,Nicaragua,4304,77.5,5877108
476,2012,americas,Costa Rica,13162,80,4654122
477,2012,americas,Venezuela,17642,74.6,29893080
478,2012,asia,Nauru,13071,,10478
479,2012,asia,American Samoa,,72.6,55230
480,2012,europe,Portugal,25953,80.4,10581821
481,2012,africa,Mozambique,1017,54.5,25676606
482,2012,europe,Hungary,22306,75.5,9869684
483,2012,asia,Mongolia,9851,66,2814226
484,2012,europe,Monaco,58081,,37783
485,2012,europe,Estonia,24761,76.7,1324934
486,2012,europe,Moldova,4151,72.4,4073703
487,2012,africa,Mauritius,16651,74.1,1253371
488,2012,americas,Belize,8287,71.3,336701
489,2012,asia,Marshall Islands,3672,66.2,52663
490,2012,africa,Togo,1314,60.3,6859482
491,2012,africa,Mali,1603,59.8,16006670
492,2012,asia,Maldives,12637,79.8,386203
493,2012,europe,Slovak Republic,25424,76.5,5417070
494,2012,africa,Niger,891,60,17731634
495,2012,africa,Madagascar,1374,62.8,22346573
496,2012,asia,Papua New Guinea,2476,59.7,7430836
497,2012,americas,Bermuda,52137,78.3,63179
498,2012,europe,"Macedonia, FYR",11370,75.8,2074036
499,2012,asia,"Macao, China",125515,80.19,562531
500,2012,europe,Luxembourg,89153,81.7,532387
501,2012,europe,Lithuania,23711,74.7,3037246
502,2012,africa,Libya,23032,75.5,6198258
503,2012,americas,Montserrat,,,5031
504,2012,europe,Romania,17502,74.7,20171255
505,2012,europe,Latvia,20597,75.1,2066374
506,2012,africa,Somalia,616,53.4,12763776
507,2012,asia,Lao,4381,65.6,6415169
508,2012,asia,Kyrgyz Republic,2870,69,5594108
509,2012,asia,Kuwait,81080,79.1,3395556
510,2012,asia,Uzbekistan,4705,70.9,29540819
511,2012,americas,Martinique,,81.18,391164
512,2012,africa,Liberia,782,62.3,4181563
513,2012,africa,Kenya,2631,64.3,43646629
514,2012,europe,Norway,63620,81.6,5012007
515,2012,asia,Saudi Arabia,50916,79.2,29086357
516,2012,asia,Jordan,11340,78.2,7992573
517,2012,asia,Japan,34988,82.9,128426384
518,2012,americas,Jamaica,8521,74.7,2840992
519,2012,asia,New Zealand,32806,81.1,4467743
520,2012,americas,Cuba,19586,78,11382146
521,2012,asia,Israel,30518,82.1,7699105
522,2012,europe,Ireland,44673,81.1,4678117
523,2012,americas,Bahamas,22841,72.7,372039
524,2012,asia,Iraq,14545,68.1,32776571
525,2012,europe,Kosovo,8387,,
526,2012,europe,San Marino,41105,,31914
527,2012,americas,Guyana,6054,65.9,753091
528,2012,americas,French Guiana,,76.89,247463
529,2012,asia,Syria,6300,68.1,20420701
530,2012,africa,Guinea-Bissau,1391,54.8,1638139
531,2012,europe,Finland,39489,80.5,5412980
532,2012,americas,Guatemala,6985,72.1,15271056
533,2012,africa,Comoros,1435,67.6,723868
534,2012,africa,Cape Verde,6224,71.9,513979
535,2012,americas,Haiti,1603,62.9,10289210
536,2012,americas,Canada,41865,81.6,34900705
537,2012,africa,Cameroon,2661,58.5,21082383
538,2012,africa,Burundi,737,61.1,9319710
539,2012,africa,Lesotho,2390,46.1,2089928
540,2012,asia,Samoa,5654,72.7,189194
541,2012,americas,Dominican Republic,11391,74.7,10154950
542,2012,asia,"Hong Kong, China",50347,83.2,7106399
543,2012,americas,Brazil,15234,74,200560983
544,2012,africa,Gambia,1584,67.5,1802125
545,2012,asia,Cambodia,2790,68.2,14776866
546,2012,africa,Botswana,14905,56.5,2089315
547,2012,asia,Tajikistan,2320,70.8,7995062
548,2012,asia,Northern Mariana Islands,,76.3,53718
549,2012,americas,Peru,10913,78.7,30158966
550,2012,africa,Namibia,8995,63.6,2263934
551,2012,asia,Palau,13532,,20758
552,2012,asia,Myanmar,3346,66.8,50986514
553,2012,africa,Central African Republic,932,48.5,4490416
554,2012,africa,Benin,1685,61.4,9729160
555,2012,africa,Chad,2003,56.3,12705135
556,2012,americas,Falkland Is (Malvinas),,,2858
557,2012,africa,Tanzania,2288,61.9,49082997
558,2012,europe,Belgium,40687,80.3,11083550
559,2012,asia,Bhutan,7138,71.9,752967
560,2012,americas,Mexico,16320,75.7,120828307
561,2012,africa,Uganda,1622,59.3,36306796
562,2012,asia,"Micronesia, Fed. Sts.",3428,68.6,103503
563,2012,asia,Vanuatu,2902,64.4,247485
564,2012,europe,Bosnia and Herzegovina,9149,78.4,3648200
565,2012,europe,Malta,28271,81.6,420789
566,2012,africa,Seychelles,23685,73.7,92285
567,2012,americas,Antigua and Barbuda,20577,76.1,96777
568,2012,europe,Iceland,39925,83.1,325526
569,2012,africa,Guinea,1216,58.5,11281469
570,2012,europe,Cyprus,31710,81.5,1135062
571,2012,asia,Australia,42522,82.4,22821849
572,2012,europe,Netherlands,45484,81,16789095
573,2012,asia,Nepal,2118,69.7,27649925
574,2012,asia,Philippines,6005,70.3,96866642
575,2012,americas,Guadeloupe,,80.69,451602
576,2012,africa,Angola,7230,58.5,25096150
577,2012,asia,Sri Lanka,8856,76.8,20424555
