LIMIT_BAL_US,SEX,EDUCATION,MARRIAGE,AGE,PAY_SCORE_AVG,BILL_AVG_US,PAY_AMT_AVG_US,PAY_TO_BILL,CREDIT_UTILIZATION,DEFAULT_PAYMENT_NEXT_MO
8708.571429,1,1,2,41,-0.33,68.21109524,54.08990476,0.79,0.0003958333333,0
15240,1,2,1,34,0.00,8163.747476,322.3925238,0.04,0.6034619048,0
11974.28571,1,3,1,46,0.00,8281.107571,296.9139048,0.04,0.6890575758,0
1088.571429,2,2,2,22,0.00,746.7720952,33.02,0.04,0.9484,0
8708.571429,1,2,1,34,1.00,469.948381,27.98233333,0.06,0.044475,0
5442.857143,1,1,2,27,0.00,851.6801429,120.952381,0.14,0.1162933333,0
7620,2,2,1,33,0.00,261.5958095,42.61152381,0.16,0.03412380952,0
1814.285714,2,3,1,51,-1.33,41.92209524,37.37428571,0.89,0.01504,1
1814.285714,1,1,2,24,0.00,1259.900476,54.18666667,0.04,1.01602,0
8708.571429,1,1,2,47,-1.50,0,0,1.00,0,1
6531.428571,1,2,2,28,-1.00,23.15028571,33.74571429,1.46,0.01017777778,0
1814.285714,1,2,2,23,1.17,601.6594762,81.64285714,0.14,0.20262,0
6168.571429,1,2,2,29,-2.00,411.1655238,398.2115238,0.97,0.07152352941,0
725.7142857,1,1,2,29,-0.83,160.322381,142.9717619,0.89,0.05995,0
1814.285714,1,1,2,28,0.50,291.3984762,43.44004762,0.15,0.09998,0
6168.571429,2,2,2,27,0.00,635.0725714,22.69066667,0.04,0.1133470588,1
7257.142857,1,1,2,34,0.50,4803.460524,526.1428571,0.11,0.98618,0
2902.857143,2,2,1,23,1.33,374.65,24.9222381,0.07,0.1146,0
9434.285714,2,1,1,60,-0.83,127.2298095,147.9791905,1.16,-0.004230769231,0
5080,1,2,1,32,0.33,2487.52481,98.37661905,0.04,0.6187642857,0
2902.857143,1,1,2,25,0.00,1551.383619,381,0.25,0.53055,0
12700,1,1,2,41,-0.83,28.68990476,27.432,0.96,0.0005942857143,0
10160,2,2,1,56,0.00,5875.993667,805.5428571,0.14,0.745625,0
1088.571429,2,3,2,26,0.00,423.7687619,52.61428571,0.12,0.3004666667,0
5080,1,1,1,34,0.00,1348.498095,214.0191905,0.16,0.1710285714,0
7257.142857,2,1,2,37,0.00,3479.842333,136.4342857,0.04,0.5271,0
7257.142857,2,3,2,30,0.00,6157.44381,228.5274286,0.04,0.980155,0
7620,1,3,1,45,4.00,4871.06081,394.716,0.08,0.5513571429,1
1814.285714,1,3,1,57,0.83,483.108,22.98095238,0.05,0.25708,0
1088.571429,1,1,2,41,1.67,983.3186667,49.28809524,0.05,0.8119,0
1814.285714,1,2,2,27,0.00,20.53771429,15.96571429,0.78,0.0078,0
10522.85714,1,3,1,47,-0.83,21.99519048,14.36914286,0.65,0.004255172414,0
9071.428571,2,1,1,34,0.33,5557.411143,240.997619,0.04,0.564892,0
2177.142857,2,2,1,46,0.00,908.9813333,60.47619048,0.07,0.3524666667,0
3991.428571,2,1,2,27,0.00,3261.71681,127.6047619,0.04,0.924,0
13425.71429,1,1,2,50,-2.00,381.4233333,374.6137143,0.98,0.01646756757,0
3628.571429,1,2,1,27,0.50,1875.300143,338.0981905,0.18,1.02349,0
3265.714286,2,2,1,35,0.33,2860.227476,149.0859048,0.05,0.8012444444,0
1814.285714,2,2,2,22,0.00,1036.313952,41.09357143,0.04,0.5608,0
9797.142857,1,2,2,37,0.00,1089.835381,114.9047619,0.11,0.1396111111,0
10885.71429,2,1,2,30,-1.00,71.24095238,71.64009524,1.01,0.002293333333,0
1814.285714,2,2,2,22,-0.17,325.2832857,188.3772857,0.58,0.17134,0
1814.285714,2,1,2,24,-1.50,-69.96490476,0,0.00,-0.01418,1
13062.85714,1,1,2,29,-1.17,0.4656666667,0.4656666667,1.00,0,0
4717.142857,1,3,1,56,2.00,2483.00119,87.69047619,0.04,0.4970538462,1
2902.857143,1,1,2,30,-0.50,94.488,36.30990476,0.38,0.0773375,0
1814.285714,1,2,2,30,0.83,1333.39719,39.30952381,0.03,0.9772,0
725.7142857,2,2,2,22,0.00,507.4799048,41.80719048,0.08,0.80005,0
2902.857143,2,2,1,29,0.33,1956.761571,53.21904762,0.03,0.9735375,0
8708.571429,1,1,2,37,-0.17,715.1974762,509.1550952,0.71,0.05088333333,0
2902.857143,2,3,2,35,-0.17,783.0880476,175.3809524,0.22,0.6201,0
18142.85714,2,1,1,47,0.00,3503.041,1345.897619,0.38,0.112844,0
2177.142857,2,2,1,24,0.00,1345.250524,65.53804762,0.05,0.9670666667,1
725.7142857,1,2,2,25,-0.17,307.848,32.37290476,0.11,0.5321,0
3628.571429,2,2,1,38,0.83,558.5036667,33.86666667,0.06,0.14483,1
13062.85714,2,1,2,32,-0.67,989.0639048,1205.217905,1.22,0.007266666667,0
7257.142857,2,3,2,47,2.00,7151.805429,217.6175238,0.03,0.99718,1
4717.142857,2,2,1,34,0.00,349.201619,105.2104286,0.30,0,0
725.7142857,2,2,2,31,3.17,760.7420952,10.64380952,0.01,1.08515,0
11248.57143,1,1,2,32,0.00,2139.284762,244.4387143,0.11,0.1932290323,0
2177.142857,2,1,2,27,0.67,786.2993333,40.83352381,0.05,0.3270833333,1
6531.428571,2,1,2,29,-1.00,277.3075238,138.3755714,0.50,0.06325555556,0
6531.428571,2,1,2,24,-0.33,412.6834762,230.2147143,0.56,0.0815,0
1814.285714,1,2,1,36,-0.33,513.2614286,160.3284286,0.31,0.9558,0
1814.285714,2,1,2,24,1.83,1383.447286,49.1792381,0.04,0.72332,1
5442.857143,2,2,1,34,-2.00,9.772952381,9.772952381,1.00,0,0
725.7142857,2,1,2,22,-0.17,625.9950952,149.7753333,0.24,0.92765,0
18142.85714,2,1,1,34,-1.50,39.04947619,132.207,3.39,0.000824,0
1088.571429,2,3,2,22,0.83,712.7360952,17.5562381,0.02,0.967,1
6531.428571,2,1,1,38,-2.00,4.535714286,0,0.00,0.004166666667,0
5080,1,1,2,31,0.67,791.464,231.6238095,0.29,0.1937357143,0
5080,2,1,2,26,-0.83,388.4748571,301.4072857,0.78,0.09588571429,0
4354.285714,1,2,2,26,0.00,4166.168476,176.3001905,0.04,0.8942833333,0
13062.85714,2,2,1,48,0.00,7273.94919,226.7857143,0.03,0.6289722222,0
725.7142857,1,3,1,43,-0.33,598.3574762,190.7298095,0.32,0.01135,0
3628.571429,1,1,1,47,-1.00,18.34242857,30.37719048,1.66,0.0039,0
7620,2,2,1,41,-1.00,58.40185714,42.2607619,0.72,0.0147047619,1
2902.857143,2,2,2,24,0.00,2367.080429,83.68695238,0.04,1.0203125,1
11974.28571,2,1,1,50,-1.33,117.6987619,65.72552381,0.56,0.02688484848,0
7982.857143,1,1,2,24,-0.50,2539.873,628.8616667,0.25,0.4800318182,0
7620,2,1,1,38,-0.67,14.41752381,71.82757143,4.98,0,1
1451.428571,2,3,1,43,0.00,1305.953095,50.82419048,0.04,0.956425,0
1088.571429,1,2,2,39,0.33,626.5514762,51.36242857,0.08,0.9449,0
17054.28571,1,2,2,27,1.33,12112.28029,336.7919048,0.03,0.631006383,0
1088.571429,1,3,1,42,-0.50,21.22714286,15.05857143,0.71,0.013,0
8708.571429,2,2,1,36,-1.50,-34.32628571,0,0.00,-0.003941666667,1
2902.857143,1,2,2,36,0.33,2847.273476,117.9285714,0.04,0.990975,0
3991.428571,2,3,0,31,0.00,2744.693762,163.0075238,0.06,0.8180818182,0
11248.57143,2,1,2,38,-1.33,36.84209524,28.23028571,0.77,0.004593548387,0
13062.85714,2,1,1,40,1.00,4146.035952,194.1285714,0.05,0.2921305556,1
11974.28571,2,3,2,45,0.00,12128.0041,442.8248095,0.04,1.015745455,0
10885.71429,2,2,2,35,0.00,8656.047857,451.0435238,0.05,0.9720633333,0
11611.42857,2,2,2,33,0.00,2644.430286,253.189619,0.10,0.286415625,0
1814.285714,2,3,2,37,1.00,1475.425524,207.5361429,0.14,1.05252,1
6168.571429,2,1,2,28,0.00,4669.378762,293.6058571,0.06,0.7668823529,0
12700,1,3,1,44,-1.17,50.7032381,30.9577619,0.61,0.009328571429,0
725.7142857,1,2,1,37,0.00,655.9308095,45.74419048,0.07,0.82275,0
1814.285714,1,2,2,23,0.33,1224.648905,54.87609524,0.04,0.99516,1
725.7142857,2,3,2,24,0.50,386.5154286,31.04242857,0.08,0.9577,0
1814.285714,2,1,2,24,0.00,803.91,40.71257143,0.05,0.70168,0
725.7142857,1,2,2,23,0.83,572.4434286,79.82857143,0.14,1.01175,1
1814.285714,1,2,1,26,-0.67,1194.695048,314.1012381,0.26,2.056,0
6894.285714,1,2,2,34,1.00,5007.779333,210.9832857,0.04,0.6831631579,1
2177.142857,2,2,1,33,0.00,1063.135143,35.89261905,0.03,0.97005,0
2902.857143,1,1,2,35,-1.00,253.1049524,219.4862381,0.87,0.09985,0
5442.857143,2,2,2,27,0.00,2417.717143,76.35119048,0.03,0.8493466667,0
7620,2,1,2,31,-1.67,109.6433333,120.8858571,1.10,0.006857142857,0
8708.571429,2,3,1,50,0.00,7941.896619,308.4104286,0.04,0.9758541667,1
5080,2,2,3,41,0.00,700.6408571,82.22947619,0.12,0.1381857143,1
2177.142857,2,1,2,28,0.00,268.732,13.81880952,0.05,0.35835,0
1814.285714,1,1,2,39,0.00,1458.95181,77.40952381,0.05,0.94348,0
1814.285714,2,2,2,27,0.00,1023.462762,48.07857143,0.05,0.5331,0
6531.428571,2,1,2,32,0.00,88.50085714,35.18504762,0.40,0.01743888889,0
1088.571429,2,1,2,40,1.00,3.707190476,3.598333333,0.97,0.004733333333,0
725.7142857,2,2,2,40,-0.33,483.1382381,35.78980952,0.07,0.9908,0
9071.428571,2,2,1,75,-0.83,383.5218571,70.92042857,0.18,0.211496,0
3628.571429,2,2,2,27,0.00,1188.345048,49.95333333,0.04,0.37767,0
11974.28571,1,1,2,25,0.33,1548.220714,92.1052381,0.06,0.1398181818,0
1814.285714,1,3,1,46,0.00,712.8389048,42.49661905,0.06,0.71426,0
1814.285714,2,2,2,26,0.83,1456.641619,60.85114286,0.04,1.01734,0
1088.571429,1,2,2,28,0.00,817.3961905,48.71961905,0.06,0.9747333333,0
5080,2,2,2,26,0.00,3818.702524,151.4384286,0.04,0.7253642857,1
5805.714286,2,1,2,28,-0.17,2040.412238,800.1665238,0.39,0.43901875,0
14514.28571,2,2,2,29,-0.83,205.8004762,89.65595238,0.44,0.04883,0
1814.285714,1,2,1,25,0.00,1049.576381,41.37780952,0.04,0.55398,0
5080,2,2,1,48,-0.83,163.8602381,166.3155714,1.01,0.008242857143,0
5805.714286,2,2,1,33,-0.83,497.156619,415.2355714,0.84,0.05009375,0
3628.571429,2,3,1,43,-1.33,375.9804762,0,0.00,0.6217,0
7982.857143,1,1,1,48,0.33,6830.422857,254.1209524,0.04,0.9562727273,1
18505.71429,2,1,2,29,0.00,3103.704619,970.4614286,0.31,0.1535901961,0
1814.285714,1,2,2,29,0.00,1222.834619,99.85828571,0.08,0.98552,0
5805.714286,2,1,1,38,-0.50,382.6751905,266.954,0.70,0.02795625,0
8345.714286,2,1,2,37,-2.00,324.9688095,314.1859048,0.97,0.009926086957,0
2902.857143,2,1,2,37,-1.00,211.9932381,175.1209048,0.83,0.1264375,0
5442.857143,2,2,1,25,-1.17,42.96228571,7.644190476,0.18,0.04104,0
362.8571429,1,3,2,23,0.33,315.2986667,23.7792381,0.08,0.6974,0
4717.142857,2,3,2,49,0.00,2163.72319,60.39152381,0.03,0.6846384615,1
1451.428571,2,1,2,48,0.00,1257.753571,55.63809524,0.04,0.871775,0
1814.285714,1,2,2,27,1.00,445.8123333,40.1017619,0.09,0.27388,1
3628.571429,1,3,2,32,0.00,1089.835381,58.5772381,0.05,0.70003,0
4354.285714,1,1,1,34,0.00,26.69419048,10.88571429,0.41,0.009016666667,0
9434.285714,2,1,2,58,-1.50,0,0,1.00,0,1
7257.142857,2,2,2,33,0.00,489.077,69.68066667,0.14,0.056265,0
13062.85714,2,2,2,28,-2.00,0,0,1.00,0,1
2540,2,2,2,36,0.00,1607.172905,170.8270952,0.11,0.9814142857,0
16691.42857,1,1,1,40,-0.50,169.5691905,168.8918571,1.00,0.0003717391304,1
1814.285714,2,1,2,26,-1.00,16.54628571,11.46628571,0.69,0.02312,0
1814.285714,1,3,1,33,0.00,1280.831286,42.35752381,0.03,1.01718,0
9071.428571,2,2,1,31,0.00,3652.828429,162.6809524,0.04,0.412436,0
1088.571429,2,1,2,27,-0.50,38.99504762,19.13466667,0.49,0.0504,0
9797.142857,1,2,1,44,-0.33,2942.735143,872.1513333,0.30,0.4723814815,0
6531.428571,2,3,2,30,0.00,4597.466524,164.4468571,0.04,0.91075,0
3628.571429,2,1,2,28,0.00,1954.481619,122.1498095,0.06,0.53494,0
8345.714286,2,3,1,32,0.00,4036.888524,175.3809524,0.04,0.848373913,0
7620,2,1,1,46,-1.00,1276.283476,728.5566667,0.57,0.5254571429,0
7620,1,1,2,38,0.33,2170.91381,83.48133333,0.04,0.2881047619,0
15965.71429,2,2,1,46,0.00,5008.511095,179.8924762,0.04,0.4105477273,0
3628.571429,2,2,2,25,0.33,2441.048857,79.88904762,0.03,0.70896,1
8708.571429,2,2,1,46,0.00,339.2532857,38.0697619,0.11,0.0364625,0
10160,1,1,2,33,-1.00,-2033.566333,2102.993,-1.03,0.003207142857,1
1814.285714,2,2,2,22,-1.50,0,0,1.00,0,1
1088.571429,1,2,1,43,2.17,78.44971429,12.0952381,0.15,0.05666666667,0
362.8571429,1,2,2,27,0.33,343.7950476,33.08047619,0.10,0.7015,1
4717.142857,1,1,2,29,-1.50,0,9.071428571,1.00,0,0
7257.142857,1,1,2,31,0.00,5920.365048,220.2845238,0.04,0.971765,0
4354.285714,2,2,1,29,-1.00,46.9597619,52.705,1.12,0.01405,0
7620,2,2,1,36,0.00,5191.566476,197.8115714,0.04,0.6820238095,0
10160,2,1,1,36,0.00,1654.870476,70.866,0.04,0.2106535714,0
10885.71429,1,1,2,34,-0.67,274.5619048,198.3558571,0.72,0,1
3628.571429,1,2,2,37,0.00,2799.146524,92.54671429,0.03,0.99209,0
15965.71429,2,1,2,36,-2.00,0,979.7142857,1.00,0,0
1814.285714,2,3,1,40,0.00,933.1536667,45.99819048,0.05,0.99882,0
725.7142857,2,1,2,25,0.33,595.3699524,69.54761905,0.12,0.5984,1
7257.142857,2,1,2,27,-0.50,110.284381,78.17757143,0.71,0.004355,0
3991.428571,2,2,2,26,-2.00,77.77238095,73.32133333,0.94,0.003927272727,0
18142.85714,2,2,1,36,-1.00,287.4372857,224.076381,0.78,0.020966,0
10885.71429,2,2,1,27,-1.17,31.53833333,31.53833333,1.00,0,0
1088.571429,1,3,1,55,2.67,440.6476667,53.82380952,0.12,0.324,1
2177.142857,2,1,2,27,-1.00,398.6106667,284.909381,0.71,0.34745,0
14514.28571,2,2,1,38,-0.67,127.9252857,115.8300476,0.91,0.0092425,0
6531.428571,2,2,1,34,0.00,5005.408667,193.5238095,0.04,0.7961166667,0
725.7142857,1,1,2,40,0.33,478.0461429,64.1047619,0.13,0.5467,0
7257.142857,2,3,1,49,0.83,2014.141381,98.49152381,0.05,0.262195,1
3628.571429,1,1,2,27,0.00,1176.280048,29.45795238,0.03,0.55734,0
2177.142857,1,2,2,23,0.00,1037.36019,48.45957143,0.05,0.8251166667,1
3991.428571,2,2,2,36,0.00,1837.369476,81.64285714,0.04,0.4347181818,0
9434.285714,2,3,1,53,-1.00,12.24642857,15.02228571,1.23,0,0
1814.285714,2,3,1,46,1.17,1291.263429,44.58304762,0.03,0.97044,0
6531.428571,1,2,2,29,-1.50,-0.07257142857,0,0.00,-0.00001111111111,0
3991.428571,1,2,2,29,0.83,1882.902,62.61704762,0.03,0.5305636364,1
12337.14286,2,1,2,27,0.00,5582.780905,545.1747143,0.10,0.5064117647,0
1814.285714,1,2,2,24,-0.17,191.4071429,66.63871429,0.35,0.02798,0
8345.714286,2,2,1,28,-0.67,334.596619,71.05952381,0.21,0.1146130435,1
13062.85714,2,2,2,32,0.00,3479.854429,344.7142857,0.10,0.2584138889,0
7620,1,2,2,43,-0.33,971.8463333,314.5548095,0.32,0,0
7982.857143,2,2,1,41,0.50,20.41071429,11.64166667,0.57,0.002954545455,1
2177.142857,2,2,1,34,1.67,1028.591143,61.14747619,0.06,0.4149666667,1
12337.14286,1,2,1,55,-1.67,831.9467619,994.1439048,1.19,0.1482235294,0
5442.857143,1,1,1,40,2.00,3774.046905,155.4238095,0.04,0.6657,0
7257.142857,2,2,1,37,-0.17,286.5966667,310.847619,1.08,-0.000895,1
4717.142857,2,2,2,40,0.33,402.2513333,43.54285714,0.11,0.07353076923,1
2177.142857,2,1,2,28,0.50,582.1800952,185.6377143,0.32,0.1756666667,0
14514.28571,2,2,1,43,-1.17,483.7369524,483.7369524,1.00,0,0
